2024-06-14T14:45:46.599Z info: 
2024-06-14T14:45:53.158Z info: Connected to DB and 
2024-06-14T14:45:58.142Z info: Connected to DB and listening to port 
2024-06-14T14:46:01.722Z info: Connected to DB and listening to port ${
2024-06-14T14:46:15.079Z info: Connected to DB and listening to port 8000
2024-06-14T14:46:24.702Z info: Connected to DB and listening to port 8000
2024-06-14T14:46:32.651Z info: Connected to DB and listening to port 8000
2024-06-14T14:46:34.244Z info: Connected to DB and listening to port 8000
2024-06-14T14:46:43.923Z info: Connected to DB and listening to port 8000
2024-06-14T14:46:59.137Z info: Connected to DB and listening to port 8000
2024-06-14T14:47:01.985Z info: Connected to DB and listening to port 8000
2024-06-14T14:47:26.353Z info: Connected to DB and listening to port 8000
2024-06-14T14:47:29.072Z info: Connected to DB and listening to port 8000
2024-06-14T14:47:41.176Z info: Connected to DB and listening to port 8000
2024-06-14T14:47:50.001Z info: Connected to DB and listening to port 8000
2024-06-14T14:47:52.676Z info: Connected to DB and listening to port 8000
2024-06-14T14:47:58.044Z info: Connected to DB and listening to port 8000
2024-06-14T14:48:11.545Z info: Connected to DB and listening to port 8000
2024-06-14T14:48:13.232Z info: Connected to DB and listening to port 8000
2024-06-14T14:48:14.900Z info: Connected to DB and listening to port 8000
2024-06-14T14:48:16.347Z info: Connected to DB and listening to port 8000
2024-06-14T14:48:38.848Z info: Connected to DB and listening to port 8000
2024-06-14T14:48:59.972Z info: Connected to DB and listening to port 8000
2024-06-14T14:49:02.777Z info: Connected to DB and listening to port 8000
2024-06-14T14:49:09.105Z info: Connected to DB and listening to port 8000
2024-06-14T14:49:10.374Z info: Connected to DB and listening to port 8000
2024-06-14T14:49:12.919Z info: Connected to DB and listening to port 8000
2024-06-14T14:49:22.097Z info: Connected to DB and listening to port 8000
2024-06-14T14:49:27.632Z info: Connected to DB and listening to port 8000
2024-06-14T14:49:54.104Z info: Connected to DB and listening to port 8000
2024-06-14T14:49:55.249Z info: Connected to DB and listening to port 8000
